"Code","Nom","DCI","Marque","Categorie","Forme","Prix Vente","Prix Achat","Rx","Quantite"
"PN0454","Rabeloc cp","","","Autre","Comprime","0","0","Non","0"
"PN0455","Ramithiazide 10/12.5 mg cp","","","Autre","Comprime","70000","0","Non","1"
"PN1285","Ramithiazide 10/25 mg cp","","","Autre","Comprime","139000","0","Non","1"
"PN0457","Ramithiazide 5/12.5 mg cp","","","Autre","Comprime","61000","0","Non","1"
"PN0458","Ranferon cp","","","Autre","Comprime","0","0","Non","0"
"PN0459","Rapiclav 1 g cp","","","Autre","Comprime","99000","0","Non","1"
"PN1286","Regulix 40 mg cp","","","Autre","Comprime","0","0","Non","0"
"PN0461","Regulix 80 mg","","","Autre","Comprime","0","0","Non","0"
"PN0462","Rejuvenex cp","","","Autre","Comprime","0","0","Non","0"
"PN0463","Renerve P cp","","","Autre","Comprime","208000","0","Non","1"
"PN0464","Renerve Plus cp","","","Autre","Comprime","139000","0","Non","2"
"PN0465","Restriva cp","","","Autre","Comprime","23500","0","Non","5"
"PN0466","Ribatran cp","","","Autre","Comprime","77000","0","Non","12"
"PN0467","Richfer cp","","","Autre","Comprime","47000","0","Non","6"
"PN0468","Rinialer cp","","","Autre","Comprime","0","0","Non","0"
"PN0469","R lume 40 mg cp","","","Autre","Comprime","35000","0","Non","2"
"PN0470","R lume 80 mg cp","","","Autre","Comprime","41000","0","Non","2"
"PN0471","Roipar 1 g cp","","","Autre","Comprime","35000","0","Non","3"
"PN0472","Roipar 500 mg cp","","","Autre","Comprime","28000","0","Non","7"
"PN0473","Roipar Plus cp","","","Autre","Comprime","38000","0","Non","9"
"PN0474","Rhumadol cp","","","Autre","Comprime","12000","0","Non","16"
"PN0475","Stopadol cp","","","Autre","Comprime","11000","0","Non","15"
"PN1287","Rovamycine 3 M.U.I cp","","","Autre","Comprime","85000","0","Non","3"
"PN1288","Rovamycine 1,5 M.U.I","","","Autre","Comprime","86500","0","Non","2"
"PN0478","Runn P cp","","","Autre","Comprime","0","0","Non","0"
"PN0479","Rox-mycin cp","","","Autre","Comprime","58000","0","Non","1"
"PN0480","Safex cp","","","Autre","Comprime","70000","0","Non","2"
"PN0481","Sekalgic cp","","","Autre","Comprime","22000","0","Non","5"
"PN0482","Sedaspir cp","","","Autre","Comprime","34000","0","Non","5"
"PN0483","Sidenafil BGR 100 mg cp","","","Autre","Comprime","0","0","Non","0"
"PN0484","Sitrus SR cp","","","Autre","Comprime","81000","0","Non","2"
"PN0485","Spasfon cp","","","Autre","Comprime","0","0","Non","0"
"PN0486","Spasmarix 40 mg cp","","","Autre","Comprime","0","0","Non","0"
"PN0487","Spasmarix 80 mg cp","","","Autre","Comprime","0","0","Non","0"
"PN0488","Spasmo-apotel cp","","","Autre","Comprime","0","0","Non","0"
"PN0489","Spasmocalm cp","","","Autre","Comprime","0","0","Non","0"
"PN0490","Spasmosyl cp","","","Autre","Comprime","35000","0","Non","1"
"PN0491","Spasmotroy 40 mg cp","","","Autre","Comprime","24000","0","Non","2"
"PN0492","Spasmotroy 80 mg cp","","","Autre","Comprime","49000","0","Non","1"
"PN0493","Shibudal cp","","","Autre","Comprime","0","0","Non","0"
"PN0494","Stresam cp","","","Autre","Comprime","0","0","Non","0"
"PN0495","Sufix 200 mg cp","","","Autre","Comprime","70000","0","Non","1"
"PN0496","Sufix 400 mg cp","","","Autre","Comprime","0","0","Non","0"
"PN0497","Sulfobactam 250 mg cp","","","Autre","Comprime","48000","0","Non","1"
"PN0498","Sulfobactam 500 mg cp","","","Autre","Comprime","115000","0","Non","1"
"PN0499","Surgam 100 mg cp","","","Autre","Comprime","51000","0","Non","1"
"PN0500","Surgam 200 mg cp","","","Autre","Comprime","80000","0","Non","1"
"PN0501","Tanakan cp","","","Autre","Comprime","102000","0","Non","3"
"PN0502","Tanganil cp","","","Autre","Comprime","71000","0","Non","1"
"PN0503","Tardyferon 80 mg cp","","","Autre","Comprime","49000","0","Non","5"
"PN0504","Tardyferon B/9 cp","","","Autre","Comprime","52000","0","Non","6"
"PN1289","T-dol Rapid cp P B/10","","","Autre","Comprime","42000","0","Non","1"
"PN0506","T-dol P Rapid cp","","","Autre","Comprime","0","0","Non","0"
"PN0507","Tegretol 200 mg cp","","","Autre","Comprime","103000","0","Non","1"
"PN0508","Tegretol LP 200 mg cp","","","Autre","Comprime","65000","0","Non","2"
"PN0509","Tegretol LP 400 mg cp","","","Autre","Comprime","0","0","Non","0"
"PN0510","Tensiodip 5 mg cp","","","Autre","Comprime","54000","0","Non","5"
"PN0511","Tensiodip 10 mg cp","","","Autre","Comprime","67000","0","Non","13"
"PN0512","Ticasse 500 mg cp","","","Autre","Comprime","85500","0","Non","2"
"PN0513","Ticasse 1 g cp","","","Autre","Comprime","104000","0","Non","3"
"PN0514","Tensionorme cp","","","Autre","Comprime","30000","0","Non","4"
"PN0515","T-fer cp","","","Autre","Comprime","0","0","Non","0"
"PN0516","Thiobactin 500 mg cp","","","Autre","Comprime","0","0","Non","0"
"PN0517","Tinazol cp","","","Autre","Comprime","23000","0","Non","5"
"PN0518","Toco 500 mg cp","","","Autre","Comprime","0","0","Non","0"
"PN0519","Tocfim 200 mg DT cp","","","Autre","Comprime","0","0","Non","0"
"PN0520","Traclav 1 g cp","","","Autre","Comprime","105000","0","Non","3"
"PN0521","Top-3 kit cp","","","Autre","Comprime","70000","0","Non","3"
"PN0522","Tracedol cp","","","Autre","Comprime","58000","0","Non","2"
"PN1290","Tramadol DENK 50 mg","","","Autre","Comprime","0","0","Non","0"
"PN0524","Tremadol cp","","","Autre","Comprime","60000","0","Non","2"
"PN0525","Tricef 400 mg cp","","","Autre","Comprime","0","0","Non","0"
"PN0526","Triafene cp","","","Autre","Comprime","27000","0","Non","4"
"PN0527","Trialgic cp","","","Autre","Comprime","35000","0","Non","13"
"PN0528","Troycal cp","","","Autre","Comprime","47000","0","Non","3"
"PN0529","Trifene 200 mg cp","","","Autre","Comprime","24000","0","Non","3"
"PN0530","Trifene 400 mg cp","","","Autre","Comprime","28000","0","Non","4"
"PN0531","Triazide 5/25 mg cp","","","Autre","Comprime","0","0","Non","0"
"PN0532","Triazide 10/12.5 mg cp","","","Autre","Comprime","151500","0","Non","1"
"PN0533","Triazide 10/25 mg cp","","","Autre","Comprime","0","0","Non","0"
"PN0534","Vitamine C Upsa cp","","","Autre","Comprime","21000","0","Non","2"
"PN0535","Vik Vit C cp","","","Autre","Comprime","39000","0","Non","3"
