"Code","Nom","DCI","Marque","Categorie","Forme","Prix Vente","Prix Achat","Rx","Quantite"
"PN1453","Neber 100g GH","","","Autre","Comprime","19000","0","Non","3"
"PN1454","Conceptio Femme","","","Autre","Comprime","217000","0","Non","1"
"PN1455","Conceptio Homme","","","Autre","Comprime","417000","0","Non","1"
"PN1456","Comsior + 80/480","","","Autre","Comprime","41000","0","Non","2"
"PN1457","Misolgan g","","","Autre","Comprime","21000","0","Non","6"
"PN1458","Nauselib g","","","Autre","Comprime","57000","0","Non","3"
"PN1459","Nofehil 500g","","","Autre","Comprime","11000","0","Non","5"
"PN1460","Normix g","","","Autre","Comprime","88000","0","Non","4"
"PN1461","NESTEFFER g","","","Autre","Comprime","28000","0","Non","1"
"PN1462","Lofnac P g","","","Autre","Comprime","28000","0","Non","2"
"PN1463","L-Cartinitine plus","","","Autre","Comprime","127000","0","Non","2"
"PN1464","Ixime 200g","","","Autre","Comprime","63000","0","Non","2"
"PN1465","Immunoflex N","","","Autre","Comprime","206000","0","Non","1"
"PN1466","Lapzol g","","","Autre","Comprime","62000","0","Non","3"
"PN1467","Lexodia g","","","Autre","Comprime","58000","0","Non","3"
"PN1468","Laroxil 25g","","","Autre","Comprime","71000","0","Non","1"
"PN1469","Nospa 80g","","","Autre","Comprime","0","0","Non","0"
"PN1470","Quinex 300","","","Autre","Comprime","52000","0","Non","1"
"PN0711","Ketoprofen GH sup","","","Autre","Comprime","0","0","Non","0"
"PN0712","Ketoflex sup","","","Autre","Comprime","0","0","Non","0"
"PN0713","Nystasha ov","","","Autre","Comprime","40000","0","Non","4"
"PN0714","Kinafon sup","","","Autre","Comprime","0","0","Non","0"
"PN0715","Microlax BB sup","","","Autre","Comprime","127000","0","Non","1"
"PN0716","Microlax A/D sup","","","Autre","Comprime","123000","0","Non","1"
"PN0717","Pevagin ov","","","Autre","Comprime","64000","0","Non","4"
"PN0718","Polygynax B/6 ov","","","Autre","Comprime","48000","0","Non","4"
"PN0719","Polygynax B/12 ov","","","Autre","Comprime","71000","0","Non","2"
"PN0720","Prokefen sup","","","Autre","Comprime","29000","0","Non","4"
"PN0721","Profenid sup","","","Autre","Comprime","45000","0","Non","2"
"PN0722","Spasmo Apotel sup","","","Autre","Comprime","41000","0","Non","3"
"PN0723","Spasmosyl sup","","","Autre","Comprime","35000","0","Non","1"
"PN0724","Titanoreine sup","","","Autre","Comprime","152000","0","Non","4"
"PN0725","Vagimilt ov","","","Autre","Comprime","58000","0","Non","2"
"PN0726","Vogalene sup","","","Autre","Comprime","19000","0","Non","2"
"PN0727","Visceralgine sup","","","Autre","Comprime","33000","0","Non","2"
"PN0728","Voltaren 100 sup","","","Autre","Comprime","0","0","Non","0"
"PN0729","Zalain ovule","","","Autre","Comprime","70000","0","Non","1"
"PN0730","Warimazol ov","","","Autre","Comprime","45000","0","Non","3"
"PN0731","Ascabiol sol","","","Autre","Comprime","65000","0","Non","14"
"PN0732","Acaribial sol","","","Autre","Comprime","48000","0","Non","4"
"PN0733","Buccothymol Bb","","","Autre","Comprime","0","0","Non","0"
"PN0734","Betadine derm sol","","","Autre","Comprime","32000","0","Non","6"
"PN0735","Betadine BB sol","","","Autre","Comprime","33000","0","Non","2"
"PN0736","Betadine Vag sol","","","Autre","Comprime","27000","0","Non","2"
"PN0737","Dakin sol 250ml","","","Autre","Comprime","28000","0","Non","10"
"PN0738","Dakin 500ml sol","","","Autre","Comprime","0","0","Non","0"
"PN0739","Dermobacter 125ml sol","","","Autre","Comprime","0","0","Non","0"
"PN0740","Dermobacter 300ml sol","","","Autre","Comprime","0","0","Non","0"
"PN1471","Dexeryl sol (Sodipharm)","","","Autre","Comprime","64000","0","Non","2"
"PN0742","Doloseptyl sol","","","Autre","Comprime","0","0","Non","0"
"PN0743","Clivon sol","","","Autre","Comprime","173000","0","Non","1"
"PN0744","Eosine Aqueuse sol 2g","","","Autre","Comprime","27000","0","Non","4"
"PN0745","Eludrilpro sol","","","Autre","Comprime","0","0","Non","0"
"PN0746","Exofen pdr","","","Autre","Comprime","45000","0","Non","4"
"PN1472","Lactive sol","","","Autre","Comprime","52000","0","Non","1"
"PN0748","Ketocon shp","","","Autre","Comprime","0","0","Non","0"
