"Code";"Nom";"DCI";"Marque";"Categorie";"Forme";"Prix Vente";"Prix Achat";"Ordonnance";"Quantite";"Peremption"
"";"Diclomax cp LP/100g cp";"";"";"";"";"";"42000";"";"2";""
"";"Diamox cp";"";"";"";"";"";"79000";"";"1";""
"";"Dynapar cp B/20";"";"";"";"";"";"56000";"";"1";""
"";"Distem cp";"";"";"";"";"";"74000";"";"3";""
"";"Dolamine cp";"";"";"";"";"";"19000";"";"3";""
"";"Dolex SR 75mg cp";"";"";"";"";"";"58000";"";"1";""
"";"Dolotren cp 100g cp";"";"";"";"";"";"0";"";"0";""
"";"Dolimex 1g cp";"";"";"";"";"";"19000";"";"20";""
"";"Dolimex 500mg cp";"";"";"";"";"";"20000";"";"12";""
"";"Dolimex migraine cp";"";"";"";"";"";"35000";"";"4";""
"";"Dontomycine 1M.U.I cp";"";"";"";"";"";"75000";"";"2";""
"";"Dontomycine 3M.U.I cp";"";"";"";"";"";"79000";"";"3";""
"";"Doxy Denk 100mg cp";"";"";"";"";"";"62000";"";"4";""
"";"Doxy Denk 200mg cp";"";"";"";"";"";"35000";"";"6";""
"";"Doxy Exphar 200mg cp";"";"";"";"";"";"39000";"";"1";""
"";"Duo-cotecxin cp";"";"";"";"";"";"93000";"";"1";""
"";"Duphaston 10mg B/10 cp";"";"";"";"";"";"53000";"";"4";""
"";"Duphaston 10mg B/20 cp";"";"";"";"";"";"106000";"";"4";""
"";"Duspatalin cp 200mg cp";"";"";"";"";"";"69000";"";"3";""
"";"Entamizol 500mg cp";"";"";"";"";"";"55000";"";"2";""
"";"Entamizol DS 500mg cp";"";"";"";"";"";"55000";"";"3";""
"";"Ery 500mg cp B/10";"";"";"";"";"";"56000";"";"1";""
"";"Efferalgan 500mg cp/eff";"";"";"";"";"";"24000";"";"7";""
"";"Efferalgan Codeine cp/eff";"";"";"";"";"";"37000";"";"1";""
"";"Efferalgan Vit C cp/eff";"";"";"";"";"";"23000";"";"4";""
"";"Efferalgan 1g cp/eff";"";"";"";"";"";"24000";"";"5";""
"";"Efferalgan gel";"";"";"";"";"";"0";"";"0";""
"";"Efferalgan 500mg cp/plus";"";"";"";"";"";"0";"";"0";""
"";"Effercal cp";"";"";"";"";"";"50000";"";"2";""
"";"Etorex 90 cp";"";"";"";"";"";"102000";"";"3";""
"";"Etorex 120 cp";"";"";"";"";"";"109000";"";"4";""
"";"Esomed 40mg cp";"";"";"";"";"";"70000";"";"1";""
"";"Exxib cp 200 mg";"";"";"";"";"";"49000";"";"3";""
"";"Feldene cp";"";"";"";"";"";"0";"";"0";""
"";"Fedate cp";"";"";"";"";"";"43000";"";"2";""
"";"Fansidar cp";"";"";"";"";"";"0";"";"0";""
"";"Fertilo Forte cp";"";"";"";"";"";"99000";"";"1";""
"";"Flex pro Extra cp";"";"";"";"";"";"0";"";"0";""
"";"Fludex LP cp";"";"";"";"";"";"112000";"";"1";""
"";"Fixim 200mg cp";"";"";"";"";"";"120000";"";"1";""
"";"Fixim 400mg cp";"";"";"";"";"";"122000";"";"1";""
"";"Femigeston 100mg cp";"";"";"";"";"";"0";"";"0";""
"";"Femigeston 200mg cp";"";"";"";"";"";"82000";"";"1";""
"";"Fercetol cp";"";"";"";"";"";"40000";"";"3";""
"";"Ferrex Forte cp";"";"";"";"";"";"44000";"";"1";""
"";"Ferfoltone cp";"";"";"";"";"";"21000";"";"14";""
"";"Fertab 50 cp";"";"";"";"";"";"87000";"";"1";""
"";"Finanemie cp";"";"";"";"";"";"29000";"";"1";""
"";"Fezomin C cp";"";"";"";"";"";"31000";"";"3";""
"";"Flagyl 250mg cp B/20";"";"";"";"";"";"45000";"";"4";""
"";"Flagyl 500mg cp B/14";"";"";"";"";"";"39000";"";"3";""
"";"Fleming 1g cp";"";"";"";"";"";"106000";"";"2";""
"";"Filazol cp 400g cp";"";"";"";"";"";"10000";"";"15";""
"";"Flatoril cp";"";"";"";"";"";"81000";"";"1";""
"";"Flotac 75 cp";"";"";"";"";"";"107000";"";"1";""
"";"Flucap cp";"";"";"";"";"";"0";"";"0";""
"";"Flucona dent 150 cp";"";"";"";"";"";"26000";"";"1";""
"";"Flucatol cp B/10";"";"";"";"";"";"44000";"";"4";""
"";"Fluocogen cp 500g cp";"";"";"";"";"";"29000";"";"5";""
"";"Flox oz cp";"";"";"";"";"";"70000";"";"3";""
