Code;Nom;DCI;Marque;Categorie;Forme;Prix Vente;Prix Achat;Ordonnance;Quantite;Peremption
;Septivon sol;;;;;;;;0;
;Septyl BB;;;;;;45000;;2;
;Aclin gel;;;;;;;;0;
;Algesal gel;;;;;;;;0;
;Aclogel gel;;;;;;;;0;
;Betadine gel;;;;;;;;0;
;Baneocin pde;;;;;;28000;;16;
;Bronchodermine pde;;;;;;74000;;1;
;Clobex cr;;;;;;28000;;2;
;Cutacnyl 5% pde;;;;;;;;0;
;Cutacnyl 10% pde;;;;;;;;0;
;Clotri denk cr;;;;;;34000;;14;
;Curapel pde;;;;;;;;0;
;Diclowal spray;;;;;;;;0;
;Dynapar 15ml spr;;;;;;52000;;3;
;Dynapar gel;;;;;;25000;;2;
;Dflex pde;;;;;;22000;;4;
;Diprolene pde;;;;;;30000;;1;
;Diprosalic pde;;;;;;50000;;2;
;Diprosone pde;;;;;;53000;;2;
;Diprosone cr;;;;;;;;0;
;Doulerex pde;;;;;;21000;;1;
;Fusiderme pde;;;;;;;;0;
;Gencloben cr;;;;;;;;0;
;Ketoderm pde;;;;;;;;0;
;Ketocon cr;;;;;;19000;;3;
;Hemorex kit;;;;;;65000;;2;
;Litacold vapour;;;;;;33000;;1;
;L-Mesitran 50g pde;;;;;;119000;;3;
;L-Mesitran 15g pde;;;;;;42000;;1;
;Locoid cr;;;;;;;;0;
;Micokin 2% cr;;;;;;10000;;5;
;Micolex cr;;;;;;26000;;4;
;Micolex 3 cr;;;;;;70000;;2;
;Intimy gel lub;;;;;;74000;;3;
;Coton Hydrophile 50g;;;;;;;;0;
;Coton Hydrophile 100g;;;;;;18000;;4;
;Mycoster creme;;;;;;;;0;
;Dynapar Qps 30ml;;;;;;104000;;3;
;Mycoster pdre;;;;;;68000;;2;
;Onecef 1g inj;;;;;;;;0;
;Pyocef 1g inj;;;;;;23000;;25;
;"Sulbacef inf 1,5 g";;;;;;;;0;
;Synergon inj;;;;;;47000;;6;
;Rocephin 1g inj IM;;;;;;;;0;
;Spasmo Apotel inj;;;;;;;;0;
;Spasfon inj;;;;;;;;0;
;Spasmosyl inj;;;;;;;;0;
;Triam-Denk inj;;;;;;23500;;46;
;Trabar 100 inj;;;;;;15500;;39;
;Vitamine B/12 inj;;;;;;;;0;
;Vogalene inj;;;;;;6000;;182;
;Diclo 5 sup;;;;;;;;0;
;Diclowal sup;;;;;;;;0;
;Evamax ov;;;;;;47000;;2;
;Flagyl ov;;;;;;;;0;
;Elle Test;;;;;;26000;;3;
;Levo test;;;;;;;;0;
;Gencloben ov;;;;;;;;0;
;Gyflorine ov;;;;;;;;0;
;Gynofast ov;;;;;;45000;;5;
;Gynanfort ov;;;;;;;;0;
;Gynospan sup;;;;;;43000;;3;
;Gynomax B/6 ov;;;;;;45000;;1;
;Gynomax B/12 ov;;;;;;86000;;5;
;Bande ordinaire 15 cm;;;;;;4000;;160;
;Bande ordinaire 10 cm;;;;;;3000;;177;
;Gants steril 7.5 8;;;;;;10000;;88;
;Compress Steril 40*40m;;;;;;2000;;40;
;Elya Intime;;;;;;57000;;1;
;X-Gain;;;;;;100000;;3;
;Tramagen inj;;;;;;11000;;20;
;Procomil spray;;;;;;143000;;3;
;9-Vit inj;;;;;;30000;;2;
;Colpotrophine ov;;;;;;99000;;1;
;Nifluril enf sup;;;;;;29000;;2;
;T-Vagymycine ov;;;;;;75000;;2;
;Orrimix ov;;;;;;58000;;2;
;Alcool 70% 125ml;;;;;;32000;;1;
;Alcool 70% 250 ml;;;;;;48000;;2;
;Polyvax ov;;;;;;47000;;1;
;Salvatis pdre;;;;;;30000;;3;
;Eau oxygene sol;;;;;;28000;;4;
;Lacta mousse;;;;;;89000;;2;
;Cliptol gel;;;;;;106000;;2;
;Burnox crem;;;;;;27000;;2;
;Genskin orte crem;;;;;;55000;;2;
;Fusimed crem;;;;;;72000;;2;
