"Code","Nom","DCI","Marque","Categorie","Forme","Prix Vente","Prix Achat","Rx","Quantite"
"PN0205","Depakine 500mg cp","","","Autre","Comprime","0","0","Non","0"
"PN0206","Depakine chrono cp","","","Autre","Comprime","0","0","Non","0"
"PN0207","Diantalex cp","","","Autre","Comprime","21000","0","Non","8"
"PN0208","Diflamex cp 50mg q","","","Autre","Comprime","0","0","Non","0"
"PN0209","Diflucan cp 150mg","","","Autre","Comprime","0","0","Non","0"
"PN0210","Dycinone cp 500mg","","","Autre","Comprime","92000","0","Non","1"
"PN0211","Daonil cp 5mg","","","Autre","Comprime","0","0","Non","0"
"PN0212","Difrarel E cp","","","Autre","Comprime","0","0","Non","0"
"PN0213","Dislep cp 25g","","","Autre","Comprime","0","0","Non","0"
"PN0214","Diclomax cp LP/100g cp","","","Autre","Comprime","42000","0","Non","2"
"PN0215","Diamox cp","","","Autre","Comprime","79000","0","Non","1"
"PN0216","Dynapar cp B/20","","","Autre","Comprime","56000","0","Non","1"
"PN0217","Distem cp","","","Autre","Comprime","74000","0","Non","3"
"PN0218","Dolamine cp","","","Autre","Comprime","19000","0","Non","3"
"PN0219","Dolex SR 75mg cp","","","Autre","Comprime","58000","0","Non","1"
"PN0220","Dolotren cp 100g cp","","","Autre","Comprime","0","0","Non","0"
"PN0221","Dolimex 1g cp","","","Autre","Comprime","19000","0","Non","20"
"PN0222","Dolimex 500mg cp","","","Autre","Comprime","20000","0","Non","12"
"PN0223","Dolimex migraine cp","","","Autre","Comprime","35000","0","Non","4"
"PN0224","Dontomycine 1M.U.I cp","","","Autre","Comprime","75000","0","Non","2"
"PN0225","Dontomycine 3M.U.I cp","","","Autre","Comprime","79000","0","Non","3"
"PN0226","Doxy Denk 100mg cp","","","Autre","Comprime","62000","0","Non","4"
"PN0227","Doxy Denk 200mg cp","","","Autre","Comprime","35000","0","Non","6"
"PN0228","Doxy Exphar 200mg cp","","","Autre","Comprime","39000","0","Non","1"
"PN0229","Duo-cotecxin cp","","","Autre","Comprime","93000","0","Non","1"
"PN0230","Duphaston 10mg B/10 cp","","","Autre","Comprime","53000","0","Non","4"
"PN0231","Duphaston 10mg B/20 cp","","","Autre","Comprime","106000","0","Non","4"
"PN0232","Duspatalin cp 200mg cp","","","Autre","Comprime","69000","0","Non","3"
"PN0233","Entamizol 500mg cp","","","Autre","Comprime","55000","0","Non","2"
"PN0234","Entamizol DS 500mg cp","","","Autre","Comprime","55000","0","Non","3"
"PN1244","Ery 500mg cp B/10","","","Autre","Comprime","56000","0","Non","1"
"PN0236","Efferalgan 500mg cp/eff","","","Autre","Comprime","24000","0","Non","7"
"PN0237","Efferalgan Codeine cp/eff","","","Autre","Comprime","37000","0","Non","1"
"PN0238","Efferalgan Vit C cp/eff","","","Autre","Comprime","23000","0","Non","4"
"PN0239","Efferalgan 1g cp/eff","","","Autre","Comprime","24000","0","Non","5"
"PN0240","Efferalgan gel","","","Autre","Comprime","0","0","Non","0"
"PN0241","Efferalgan 500mg cp/plus","","","Autre","Comprime","0","0","Non","0"
"PN0242","Effercal cp","","","Autre","Comprime","50000","0","Non","2"
"PN0243","Etorex 90 cp","","","Autre","Comprime","102000","0","Non","3"
"PN0244","Etorex 120 cp","","","Autre","Comprime","109000","0","Non","4"
"PN0245","Esomed 40mg cp","","","Autre","Comprime","70000","0","Non","1"
"PN1245","Exxib cp 200 mg","","","Autre","Comprime","49000","0","Non","3"
"PN0247","Feldene cp","","","Autre","Comprime","0","0","Non","0"
"PN0248","Fedate cp","","","Autre","Comprime","43000","0","Non","2"
"PN0249","Fansidar cp","","","Autre","Comprime","0","0","Non","0"
"PN0250","Fertilo Forte cp","","","Autre","Comprime","99000","0","Non","1"
"PN0251","Flex pro Extra cp","","","Autre","Comprime","0","0","Non","0"
"PN0252","Fludex LP cp","","","Autre","Comprime","112000","0","Non","1"
"PN0253","Fixim 200mg cp","","","Autre","Comprime","120000","0","Non","1"
"PN0254","Fixim 400mg cp","","","Autre","Comprime","122000","0","Non","1"
"PN0255","Femigeston 100mg cp","","","Autre","Comprime","0","0","Non","0"
"PN0256","Femigeston 200mg cp","","","Autre","Comprime","82000","0","Non","1"
"PN1246","Fercetol cp","","","Autre","Comprime","40000","0","Non","3"
"PN0258","Ferrex Forte cp","","","Autre","Comprime","44000","0","Non","1"
"PN0259","Ferfoltone cp","","","Autre","Comprime","21000","0","Non","14"
"PN0260","Fertab 50 cp","","","Autre","Comprime","87000","0","Non","1"
"PN0261","Finanemie cp","","","Autre","Comprime","29000","0","Non","1"
"PN0262","Fezomin C cp","","","Autre","Comprime","31000","0","Non","3"
"PN0263","Flagyl 250mg cp B/20","","","Autre","Comprime","45000","0","Non","4"
"PN1247","Flagyl 500mg cp B/14","","","Autre","Comprime","39000","0","Non","3"
"PN0265","Fleming 1g cp","","","Autre","Comprime","106000","0","Non","2"
"PN0266","Filazol cp 400g cp","","","Autre","Comprime","10000","0","Non","15"
"PN0267","Flatoril cp","","","Autre","Comprime","81000","0","Non","1"
"PN0268","Flotac 75 cp","","","Autre","Comprime","107000","0","Non","1"
"PN0269","Flucap cp","","","Autre","Comprime","0","0","Non","0"
"PN1248","Flucona dent 150 cp","","","Autre","Comprime","26000","0","Non","1"
"PN1249","Flucatol cp B/10","","","Autre","Comprime","44000","0","Non","4"
"PN1250","Fluocogen cp 500g cp","","","Autre","Comprime","29000","0","Non","5"
"PN0273","Flox oz cp","","","Autre","Comprime","70000","0","Non","3"
"PN0274","Flex Nor cp","","","Autre","Comprime","0","0","Non","0"
"PN0275","Flucomyc cp 150 mg","","","Autre","Comprime","0","0","Non","0"
"PN0276","Fluxol cp","","","Autre","Comprime","14000","0","Non","2"
"PN0277","Fuclo 500mg cp","","","Autre","Comprime","77000","0","Non","2"
"PN0278","Forcan cp 150mg","","","Autre","Comprime","14000","0","Non","3"
"PN0279","Fumafer cp","","","Autre","Comprime","66000","0","Non","1"
"PN0280","Fluvermal cp","","","Autre","Comprime","53000","0","Non","4"
"PN0281","Fortaline plus cp","","","Autre","Comprime","0","0","Non","0"
"PN0282","flexdol cp","","","Autre","Comprime","35000","0","Non","3"
"PN0283","Fizaclav 1g cp","","","Autre","Comprime","127000","0","Non","1"
"PN0284","Decontractyl cp","","","Autre","Comprime","0","0","Non","0"
"PN0285","Jafazot 20g","","","Autre","Comprime","0","0","Non","0"
"PN1251","Clomigene 50 cp","","","Autre","Comprime","70000","0","Non","2"
"PN1252","Difrarel E 100 mg","","","Autre","Comprime","0","0","Non","0"
"PN1253","Digoxine","","","Autre","Comprime","0","0","Non","0"
"PN1254","Esopra 20","","","Autre","Comprime","0","0","Non","0"
"PN1255","Esopra 40","","","Autre","Comprime","92000","0","Non","2"
"PN1256","Esomecra 40","","","Autre","Comprime","98000","0","Non","1"
"PN1257","Cotipred cp","","","Autre","Comprime","74000","0","Non","3"
"PN1258","Calgen D3 cp","","","Autre","Comprime","58000","0","Non","4"
"PN1259","Caprazol 20mg","","","Autre","Comprime","33000","0","Non","1"
"PN1260","Ciprocare 500 cp","","","Autre","Comprime","0","0","Non","0"
"PN1261","Clomigene 50 cp","","","Autre","Comprime","70000","0","Non","2"
"PN1262","Clorifains cp","","","Autre","Comprime","20000","0","Non","1"
"PN1263","Cotipred 20mg cp","","","Autre","Comprime","0","0","Non","0"
"PN1264","Defale 30mg","","","Autre","Comprime","139000","0","Non","2"
"PN1265","Defale 6mg cp","","","Autre","Comprime","67000","0","Non","1"
"PN1266","Bestatene cp","","","Autre","Comprime","56000","0","Non","3"
"PN1267","Diamicron 60 mg B/30","","","Autre","Comprime","230000","0","Non","3"
"PN1268","Diamicron 60 mg B/150","","","Autre","Comprime","81000","0","Non","8"
"PN1269","Diaryl Gel","","","Autre","Comprime","38000","0","Non","2"
"PN1270","Dolex 50 cp","","","Autre","Comprime","0","0","Non","0"
