"Code";"Nom";"DCI";"Marque";"Categorie";"Forme";"Prix Vente";"Prix Achat";"Ordonnance";"Quantite";"Peremption"
"";"Calben sp";"";"";"";"";"";"12000";"";"9";""
"";"Caltoux enf sp";"";"";"";"";"";"21000";"";"3";""
"";"Caltoux A/D sp";"";"";"";"";"";"29000";"";"3";""
"";"Carbotoux enf sp";"";"";"";"";"";"22000";"";"5";""
"";"Carbotoux A/D sp";"";"";"";"";"";"29000";"";"8";""
"";"Cipcal sp";"";"";"";"";"";"40000";"";"3";""
"";"Buto-Asma spr";"";"";"";"";"";"55000";"";"4";""
"";"Brustan sp";"";"";"";"";"";"0";"";"0";""
"";"Bronex sp";"";"";"";"";"";"29000";"";"2";""
"";"Broxol sp";"";"";"";"";"";"37000";"";"3";""
"";"Brufen sp";"";"";"";"";"";"57000";"";"3";""
"";"Bronquidiazina sp";"";"";"";"";"";"51000";"";"2";""
"";"Broncathiol enf sp";"";"";"";"";"";"0";"";"0";""
"";"Broncathiol A/D sp";"";"";"";"";"";"44000";"";"3";""
"";"Applift sp";"";"";"";"";"";"36000";"";"1";""
"";"Appetine sp";"";"";"";"";"";"26000";"";"3";""
"";"Appetine Viatamine sp";"";"";"";"";"";"35000";"";"2";""
"";"Appetamine sp";"";"";"";"";"";"45000";"";"2";""
"";"Apdyl-H sp";"";"";"";"";"";"35000";"";"3";""
"";"Anginovag spr";"";"";"";"";"";"47000";"";"7";""
"";"Angispray spr";"";"";"";"";"";"0";"";"0";""
"";"Anticide plus sp";"";"";"";"";"";"29000";"";"5";""
"";"Amibazol sp";"";"";"";"";"";"0";"";"0";""
"";"Amifer sp";"";"";"";"";"";"51000";"";"2";""
"";"Ambrolite GH sp";"";"";"";"";"";"0";"";"0";""
"";"Almax forte sp";"";"";"";"";"";"0";"";"0";""
"";"Alvityl sp";"";"";"";"";"";"86000";"";"1";""
"";"Algofene sp";"";"";"";"";"";"35000";"";"2";""
"";"Astyfer sp";"";"";"";"";"";"53000";"";"1";""
"";"Alfamox sp";"";"";"";"";"";"0";"";"0";""
"";"Advilmed sp";"";"";"";"";"";"0";"";"0";""
"";"Alzol sp";"";"";"";"";"";"28000";"";"5";""
"";"Arginine veyron sp";"";"";"";"";"";"100000";"";"2";""
"";"Acure 20/120 sp";"";"";"";"";"";"26000";"";"2";""
"";"Acure 40/240 sp";"";"";"";"";"";"34000";"";"2";""
"";"Acure 60/360 sp";"";"";"";"";"";"35000";"";"2";""
"";"Acigene sp";"";"";"";"";"";"26000";"";"3";""
"";"Acefyl sp";"";"";"";"";"";"20000";"";"6";""
"";"Actimag sp";"";"";"";"";"";"71000";"";"3";""
"";"Aclav enf sp";"";"";"";"";"";"84000";"";"3";""
"";"Bimalaril Adolescent sp";"";"";"";"";"";"51000";"";"1";""
"";"Bimalaril Enfant sp";"";"";"";"";"";"45000";"";"8";""
"";"Bimalaril NN sp";"";"";"";"";"";"27000";"";"5";""
"";"Bimalaril Adolescent cp";"";"";"";"";"";"0";"";"0";""
"";"Bimalaril Enfant cp";"";"";"";"";"";"45000";"";"6";""
"";"Bimalaril NN cp";"";"";"";"";"";"27000";"";"2";""
"";"Betalin sp gtte";"";"";"";"";"";"0";"";"0";""
"";"Bekracine sp";"";"";"";"";"";"0";"";"0";""
"";"Bibactin sp";"";"";"";"";"";"22000";"";"2";""
"";"Biba sp";"";"";"";"";"";"49000";"";"2";""
"";"Beclav sp";"";"";"";"";"";"65000";"";"1";""
"";"Bactoxine sp";"";"";"";"";"";"0";"";"0";""
"";"Bioferon 12 sp";"";"";"";"";"";"0";"";"0";""
"";"Bactox 250 mg sp";"";"";"";"";"";"30000";"";"2";""
"";"Azicure sp";"";"";"";"";"";"81000";"";"3";""
"";"Augmentin enf sp";"";"";"";"";"";"0";"";"0";""
"";"Atovit sp";"";"";"";"";"";"0";"";"0";""
"";"Aminopep sp";"";"";"";"";"";"53000";"";"4";""
"";"Amoxidel 125 sp";"";"";"";"";"";"24000";"";"9";""
"";"Amoxidel 250 sp";"";"";"";"";"";"32000";"";"17";""
"";"Atofer ZN sp";"";"";"";"";"";"0";"";"0";""
"";"Astymin C gtte";"";"";"";"";"";"25000";"";"4";""
"";"Alfer sp";"";"";"";"";"";"0";"";"0";""
"";"Atofan sp";"";"";"";"";"";"0";"";"0";""
"";"Astimine sp";"";"";"";"";"";"0";"";"0";""
"";"Artiz sp";"";"";"";"";"";"40000";"";"1";""
"";"Artilex sp";"";"";"";"";"";"0";"";"0";""
"";"Artrim GH sp";"";"";"";"";"";"52000";"";"2";""
"";"Artefan sp 20/120";"";"";"";"";"";"23000";"";"2";""
"";"Artefan 40 mg sp";"";"";"";"";"";"0";"";"0";""
"";"Artefan 60 mg sp";"";"";"";"";"";"0";"";"0";""
"";"Artefan 80 mg sp";"";"";"";"";"";"0";"";"0";""
"";"Fixim sp";"";"";"";"";"";"0";"";"0";""
"";"Ferravit sp";"";"";"";"";"";"0";"";"0";""
"";"Fifer sp";"";"";"";"";"";"41000";"";"1";""
"";"Fercefol sp";"";"";"";"";"";"31000";"";"1";""
"";"Femifer sp";"";"";"";"";"";"0";"";"0";""
"";"Finanemi sp";"";"";"";"";"";"47000";"";"1";""
"";"Ferromix sp";"";"";"";"";"";"30000";"";"1";""
"";"Ferrex forte sp";"";"";"";"";"";"33000";"";"1";""
"";"Fedate sp";"";"";"";"";"";"51000";"";"1";""
"";"Febrilex plus sp";"";"";"";"";"";"28000";"";"4";""
"";"Febulex junior sp";"";"";"";"";"";"30000";"";"3";""
"";"Enrouex sp";"";"";"";"";"";"50000";"";"2";""
"";"Entamizol sp";"";"";"";"";"";"49000";"";"2";""
"";"Dolodent sol";"";"";"";"";"";"51000";"";"2";""
"";"Drenoxol sp";"";"";"";"";"";"0";"";"0";""
"";"Desyrel sp";"";"";"";"";"";"47000";"";"2";""
"";"Desarol sp";"";"";"";"";"";"0";"";"0";""
"";"Defal sp";"";"";"";"";"";"0";"";"0";""
