"Code","Nom","DCI","Marque","Categorie","Forme","Prix Vente","Prix Achat","Rx","Quantite"
"PN0567","Aclav 1g B/12 Sh","","","Autre","Comprime","95000","0","Non","6"
"PN0568","Aclav 1g B/16 Sh","","","Autre","Comprime","138000","0","Non","7"
"PN0569","Aclav 500mg B/12 Sh","","","Autre","Comprime","93000","0","Non","6"
"PN0570","Aclav 500mg B/16 Sh","","","Autre","Comprime","127000","0","Non","7"
"PN0571","Alfamox 1g Sh","","","Autre","Comprime","78000","0","Non","3"
"PN0572","Alfamox 500mg Sh","","","Autre","Comprime","55000","0","Non","5"
"PN0573","Almax Forte Sh","","","Autre","Comprime","0","0","Non","0"
"PN0574","Amfocin Sh 1g","","","Autre","Comprime","106000","0","Non","3"
"PN1539","Amoxiclav DENK 1g Sh B/8","","","Autre","Comprime","81000","0","Non","3"
"PN1540","Amoxiclav 1g DENK  Sh B/12","","","Autre","Comprime","114000","0","Non","5"
"PN0577","Aspegic 100mg Sh","","","Autre","Comprime","37000","0","Non","7"
"PN0578","Aspegic 250mg Sh","","","Autre","Comprime","0","0","Non","0"
"PN0579","Aspegic 500mg Sh","","","Autre","Comprime","0","0","Non","0"
"PN0580","Aspegic 1000mg Sh","","","Autre","Comprime","0","0","Non","0"
"PN0581","Azithro 100mg Sh","","","Autre","Comprime","0","0","Non","0"
"PN0582","Azithro 200mg Sh","","","Autre","Comprime","0","0","Non","0"
"PN0583","Cefixidel 100mg Sh","","","Autre","Comprime","74000","0","Non","3"
"PN0584","Creaclav 1g Sh","","","Autre","Comprime","0","0","Non","0"
"PN0585","Bedelix Sh","","","Autre","Comprime","75000","0","Non","3"
"PN0586","Biotic Plus B/14 Sh","","","Autre","Comprime","0","0","Non","0"
"PN0587","Biotic Plus B/24 Sh","","","Autre","Comprime","174000","0","Non","1"
"PN0588","Curam 1g B/12 Sh","","","Autre","Comprime","0","0","Non","0"
"PN0589","Curam 1g B/24 Sh","","","Autre","Comprime","0","0","Non","0"
"PN0590","Dolimex 200mg Sh","","","Autre","Comprime","22000","0","Non","2"
"PN0591","Dolimex 300mg Sh","","","Autre","Comprime","22000","0","Non","3"
"PN0592","Dolimex 500mg Sh","","","Autre","Comprime","19000","0","Non","2"
"PN0593","Dolimex 1g Sh","","","Autre","Comprime","19000","0","Non","4"
"PN0594","Doliprane 200mg Sh","","","Autre","Comprime","23000","0","Non","4"
"PN0595","Doliprane 300mg Sh","","","Autre","Comprime","23000","0","Non","2"
"PN1541","Efferalgan 250mg Sh","","","Autre","Comprime","23000","0","Non","1"
"PN1542","Fortrans Sh","","","Autre","Comprime","78000","0","Non","1"
"PN0598","Duphalac Sh","","","Autre","Comprime","49000","0","Non","2"
"PN0599","Electrolyte Sh","","","Autre","Comprime","0","0","Non","0"
"PN0600","Exomuc Sh","","","Autre","Comprime","62000","0","Non","1"
"PN0601","Fervex enf Sh","","","Autre","Comprime","43000","0","Non","1"
"PN0602","Fervex A/D Sh","","","Autre","Comprime","44000","0","Non","12"
"PN0603","Forlax B/10 Sh","","","Autre","Comprime","40000","0","Non","3"
"PN0604","Forlax B/20 Sh","","","Autre","Comprime","75000","0","Non","2"
"PN0605","Gaviscon Sh","","","Autre","Comprime","0","0","Non","0"
"PN0606","Genclav 250mg Sh","","","Autre","Comprime","58000","0","Non","3"
"PN0607","Genclav 500mg Sh","","","Autre","Comprime","79000","0","Non","4"
"PN0608","Genclav 1g Sh","","","Autre","Comprime","116000","0","Non","3"
"PN0609","Immu C Sh","","","Autre","Comprime","0","0","Non","0"
"PN0610","Immu Active Denk Sh","","","Autre","Comprime","121000","0","Non","1"
"PN0611","Kardegic 75mg Sh","","","Autre","Comprime","0","0","Non","0"
"PN0612","Kardegic 160mg Sh","","","Autre","Comprime","0","0","Non","0"
"PN0613","Lufanter 80 Sh","","","Autre","Comprime","0","0","Non","0"
"PN0614","Mucomyst Sh","","","Autre","Comprime","44000","0","Non","1"
"PN0615","Maalox Sh","","","Autre","Comprime","58000","0","Non","1"
"PN0616","Magnes Active Denk Sh","","","Autre","Comprime","107000","0","Non","1"
"PN0618","Peptex Sh","","","Autre","Comprime","64000","0","Non","1"
"PN0619","Rapidex Sh","","","Autre","Comprime","53000","0","Non","2"
"PN0620","Recharge Active Sh","","","Autre","Comprime","0","0","Non","0"
"PN0621","Rinomicine Sh","","","Autre","Comprime","35000","0","Non","3"
"PN0622","Rinogrip Sh","","","Autre","Comprime","43000","0","Non","3"
"PN0623","Rhumadol ped Sh","","","Autre","Comprime","0","0","Non","0"
"PN1543","SRO Zinc Sh","","","Autre","Comprime","0","0","Non","0"
"PN0625","Saphir 1g B/12 Sh","","","Autre","Comprime","93000","0","Non","1"
"PN0626","Saphir 500mg Sh","","","Autre","Comprime","0","0","Non","0"
"PN0627","Diosmectite Sh","","","Autre","Comprime","0","0","Non","0"
"PN0628","Smecta B/10 Sh","","","Autre","Comprime","26000","0","Non","3"
"PN1544","Smecta B/30 Sh","","","Autre","Comprime","75000","0","Non","1"
"PN0630","Tiorfan enf Sh","","","Autre","Comprime","0","0","Non","0"
"PN0631","Tributine Sh","","","Autre","Comprime","64000","0","Non","1"
"PN1545","Trebon 200 Sh","","","Autre","Comprime","26000","0","Non","1"
"PN0633","Trebon 600 Sh","","","Autre","Comprime","42000","0","Non","2"
"PN0634","Zamox 500mg Sh","","","Autre","Comprime","62000","0","Non","1"
"PN0635","Zamox 1g Sh B/12","","","Autre","Comprime","88000","0","Non","1"
"PN0636","Zamox 1g Sh B/16","","","Autre","Comprime","116000","0","Non","1"
"PN0637","Trofocard Max Sh","","","Autre","Comprime","87000","0","Non","3"
"PN0638","Ulcar 1g Sh","","","Autre","Comprime","0","0","Non","0"
"PN1546","Vitamax Cafe B/10 Sh","","","Autre","Comprime","30000","0","Non","22"
"PN0640","Vitamax Miel B/10 Sh","","","Autre","Comprime","35000","0","Non","44"
"PN0641","Bioherb Sucre (Dr Secret) B/8 Sh","","","Autre","Comprime","35000","0","Non","12"
"PN0642","Bioherb Sans Sucre (Dr Secret) B/8 Sh","","","Autre","Comprime","36000","0","Non","16"
"PN0643","Dynamogene Amp/Buv","","","Autre","Comprime","74000","0","Non","3"
"PN0644","Mag 2 Amp/Buv","","","Autre","Comprime","95000","0","Non","15"
"PN0645","Magnoral Amp/Buv","","","Autre","Comprime","0","0","Non","0"
"PN0646","Maximag Amp/Buv","","","Autre","Comprime","0","0","Non","0"
"PN0647","Potenciator Amp/Buv","","","Autre","Comprime","0","0","Non","0"
"PN0648","Revitalose A/B Amp/Buv","","","Autre","Comprime","88000","0","Non","6"
"PN0649","Rocmaline Amp/Buv","","","Autre","Comprime","0","0","Non","0"
"PN1547","Sargenor 1f Amp/Buv","","","Autre","Comprime","69000","0","Non","6"
"PN0651","Stimol Amp/Buv","","","Autre","Comprime","31000","0","Non","1"
"PN0652","Tothema Amp/Buv","","","Autre","Comprime","66000","0","Non","6"
"PN1548","Rhumix Sh","","","Autre","Comprime","22000","0","Non","5"
"PN1549","Doliprane 500 Sh","","","Autre","Comprime","21000","0","Non","2"
"PN1550","Rinogripp SS","","","Autre","Comprime","0","0","Non","0"
"PN1551","Saphir 1g B","","","Autre","Comprime","138000","0","Non","1"
"PN1552","Smecta Fraise","","","Autre","Comprime","44000","0","Non","1"
"PN1553","Soclav 1g B/16","","","Autre","Comprime","141000","0","Non","1"
"PN1554","Soclav 500mg B/16","","","Autre","Comprime","114000","0","Non","1"
"PN1555","Magnes Denk Sh","","","Autre","Comprime","107000","0","Non","1"
