"Code","Nom","DCI","Marque","Categorie","Forme","Prix Vente","Prix Achat","Rx","Quantite"
"PN1033","Dolodent sol","","","Autre","Comprime","51000","0","Non","2"
"PN1034","Drenoxol sp","","","Autre","Comprime","0","0","Non","0"
"PN1035","Desyrel sp","","","Autre","Comprime","47000","0","Non","2"
"PN1036","Desarol sp","","","Autre","Comprime","0","0","Non","0"
"PN1037","Defal sp","","","Autre","Comprime","0","0","Non","0"
"PN1038","Dedrogyl sp","","","Autre","Comprime","0","0","Non","0"
"PN1039","Diastop sp","","","Autre","Comprime","26000","0","Non","3"
"PN1040","Diaryl sp","","","Autre","Comprime","32000","0","Non","2"
"PN1042","Cough off sp","","","Autre","Comprime","30000","0","Non","2"
"PN1043","Curtec sp","","","Autre","Comprime","0","0","Non","0"
"PN1044","Co-artesiane sp","","","Autre","Comprime","37200","0","Non","1"
"PN1045","Combifrinil sp","","","Autre","Comprime","30000","0","Non","2"
"PN1046","Clartec sp","","","Autre","Comprime","58000","0","Non","2"
