"Code";"Nom";"DCI";"Marque";"Categorie";"Forme";"Prix Vente";"Prix Achat";"Ordonnance";"Quantite";"Peremption"
"";"Verrex 400 mg cp";"";"";"";"";"";"21000";"";"7";""
"";"Verzol 400 mg cp";"";"";"";"";"";"18000";"";"6";""
"";"Vicombil cp";"";"";"";"";"";"60000";"";"1";""
"";"Vitamine C Galenica B/10 cp";"";"";"";"";"";"18000";"";"5";""
"";"Vitamine C Galenica B/20 cp";"";"";"";"";"";"24000";"";"9";""
"";"Vivagest cp";"";"";"";"";"";"116000";"";"4";""
"";"Visceralgine cp";"";"";"";"";"";"37000";"";"5";""
"";"Versino cp";"";"";"";"";"";"28000";"";"1";""
"";"Vitafact cp";"";"";"";"";"";"52000";"";"3";""
"";"Vitamine E forte cp";"";"";"";"";"";"0";"";"0";""
"";"Voltarene 50 mg cp";"";"";"";"";"";"0";"";"0";""
"";"Wormin 500 mg cp";"";"";"";"";"";"17000";"";"11";""
"";"Wormin 100 mg cp";"";"";"";"";"";"24000";"";"12";""
"";"Xykaa 500 mg cp";"";"";"";"";"";"0";"";"0";""
"";"Xykaa 1 g cp";"";"";"";"";"";"0";"";"0";""
"";"Xerin cp";"";"";"";"";"";"0";"";"0";""
"";"X-flux cp";"";"";"";"";"";"0";"";"0";""
"";"Zamudol LP 100 mg cp";"";"";"";"";"";"0";"";"0";""
"";"Zentel 400 mg cp";"";"";"";"";"";"32000";"";"12";""
"";"Zerodol P cp";"";"";"";"";"";"47000";"";"3";""
"";"Zerodol CR cp";"";"";"";"";"";"58000";"";"4";""
"";"Zyloric 100 mg cp";"";"";"";"";"";"27000";"";"1";""
"";"Zyloric 200 mg cp";"";"";"";"";"";"42000";"";"1";""
"";"Zyloric 300 mg cp";"";"";"";"";"";"54000";"";"1";""
"";"Zocin cp";"";"";"";"";"";"93000";"";"3";""
"";"Triafer cp";"";"";"";"";"";"29000";"";"4";""
"";"Trabar 50 mg";"";"";"";"";"";"50000";"";"4";""
"";"Tramagen 50 mg";"";"";"";"";"";"50000";"";"5";""
"";"Tinilon cp";"";"";"";"";"";"93000";"";"1";""
"";"Tributine cp";"";"";"";"";"";"66000";"";"1";""
"";"Teli 40 mg";"";"";"";"";"";"107000";"";"1";""
"";"Zanudol cp 50 mg";"";"";"";"";"";"51000";"";"3";""
"";"Zerodol cp";"";"";"";"";"";"0";"";"0";""
"";"Rabetoc cp";"";"";"";"";"";"";"";"0";""
"";"Roivit Vic C";"";"";"";"";"";"35000";"";"2";""
"";"Roivit Ca + Vit C";"";"";"";"";"";"70000";"";"4";""
"";"Roxyl 300";"";"";"";"";"";"88000";"";"1";""
"";"Sanozol cp";"";"";"";"";"";"23000";"";"5";""
"";"Saridon cp";"";"";"";"";"";"22000";"";"3";""
"";"Silagra 50";"";"";"";"";"";"35000";"";"8";""
"";"Silagra 100";"";"";"";"";"";"55000";"";"5";""
"";"Spascol cp";"";"";"";"";"";"34000";"";"2";""
"";"Solexim 200";"";"";"";"";"";"75000";"";"1";""
"";"Super Calgin";"";"";"";"";"";"67000";"";"1";""
"";"Tora 20";"";"";"";"";"";"0";"";"0";""
"";"Tramagen 50 cp";"";"";"";"";"";"0";"";"0";""
"";"Tinilon cp";"";"";"";"";"";"0";"";"0";""
"";"Vascor 20 mg";"";"";"";"";"";"0";"";"0";""
"";"Venosmil gel";"";"";"";"";"";"0";"";"0";""
"";"Upradone cp";"";"";"";"";"";"185000";"";"1";""
"";"Vikthro 500 mg";"";"";"";"";"";"70000";"";"1";""
"";"Xykaa 1000 Eff";"";"";"";"";"";"40000";"";"2";""
"";"Voltarène 75 mg";"";"";"";"";"";"108000";"";"3";""
"";"Voltarène 100 mg";"";"";"";"";"";"0";"";"0";""
"";"Welvit-Plus cp";"";"";"";"";"";"75000";"";"1";""
"";"Zamudol LP 50";"";"";"";"";"";"51000";"";"3";""
"";"Zyrtec 10 mg cp";"";"";"";"";"";"79000";"";"1";""
"";"Rasgil HTZ 10/25";"";"";"";"";"";"107000";"";"1";""
"";"Xykaa 500 mg cp";"";"";"";"";"";"18000";"";"5";""
"";"Tora 40 mg";"";"";"";"";"";"81000";"";"1";""
"";"Tora 80 mg";"";"";"";"";"";"113000";"";"2";""
"";"Versino cp";"";"";"";"";"";"28000";"";"1";""
"";"Voltarène 50  mg";"";"";"";"";"";"92000";"";"3";""
"";"Sulfobactin 500 mg";"";"";"";"";"";"115000";"";"1";""
"";"Rhino Parol cp";"";"";"";"";"";"41000";"";"1";""
