"Code,""Nom"",""DCI"",""Marque"",""Categorie"",""Forme"",""Prix Vente"",""Prix Achat"",""Rx"",""Quantite"""
"PN0368,""Macromax cp"","""","""",""Autre"",""Comprime"",""104000"",""0"",""Non"",""1"""
"PN1246,""Malacure 20/120 B/6"","""","""",""Autre"",""Comprime"",""12000"",""0"",""Non"",""2"""
"PN0370,""Malacure 40/360 B/12 cp"","""","""",""Autre"",""Comprime"",""0"",""0"",""Non"",""0"""
"PN0371,""Malacure 40/320 B/9 cp"","""","""",""Autre"",""Comprime"",""0"",""0"",""Non"",""0"""
"PN0372,""Magnesium Marin Forte cp"","""","""",""Autre"",""Comprime"",""86000"",""0"",""Non"",""1"""
"PN0373,""Migretil cp"","""","""",""Autre"",""Comprime"",""44000"",""0"",""Non"",""2"""
"PN0374,""Myocalm cp"","""","""",""Autre"",""Comprime"",""122000"",""0"",""Non"",""3"""
"PN0375,""Misodia cp"","""","""",""Autre"",""Comprime"",""25000"",""0"",""Non"",""5"""
"PN0376,""Neurodol cp"","""","""",""Autre"",""Comprime"",""0"",""0"",""Non"",""0"""
"PN1247,""Naturex pastille cp Gingembre"","""","""",""Autre"",""Comprime"",""42000"",""0"",""Non"",""1"""
"PN0378,""Natrixam 1.5/5mg cp"","""","""",""Autre"",""Comprime"",""0"",""0"",""Non"",""0"""
"PN0379,""Natrixam 1.5/10mg cp"","""","""",""Autre"",""Comprime"",""150000"",""0"",""Non"",""1"""
"PN0380,""Nauselium cp"","""","""",""Autre"",""Comprime"",""39000"",""0"",""Non"",""3"""
"PN0381,""Neurocobal cp"","""","""",""Autre"",""Comprime"",""84000"",""0"",""Non"",""10"""
"PN0382,""Neural 150mg cp"","""","""",""Autre"",""Comprime"",""0"",""0"",""Non"",""0"""
"PN0383,""Neural 75mg cp"","""","""",""Autre"",""Comprime"",""84000"",""0"",""Non"",""2"""
"PN0384,""Nidazol 250mg cp"","""","""",""Autre"",""Comprime"",""41000"",""0"",""Non"",""5"""
"PN0385,""Nidazol 500mg cp"","""","""",""Autre"",""Comprime"",""44000"",""0"",""Non"",""2"""
"PN0386,""Neurobion cp"","""","""",""Autre"",""Comprime"",""52000"",""0"",""Non"",""1"""
"PN0387,""Neagyl 80mg cp"","""","""",""Autre"",""Comprime"",""0"",""0"",""Non"",""0"""
"PN0388,""Nifluril cp"","""","""",""Autre"",""Comprime"",""40000"",""0"",""Non"",""3"""
"PN0389,""Nucleo CMP forte cp"","""","""",""Autre"",""Comprime"",""108000"",""0"",""Non"",""2"""
"PN0390,""Norfen 400mg cp"","""","""",""Autre"",""Comprime"",""88000"",""0"",""Non"",""2"""
"PN0391,""Norflozole cp"","""","""",""Autre"",""Comprime"",""70000"",""0"",""Non"",""2"""
"PN0392,""Norlevo cp"","""","""",""Autre"",""Comprime"",""68000"",""0"",""Non"",""7"""
"PN0393,""Neurogil 75mg cp"","""","""",""Autre"",""Comprime"",""151000"",""0"",""Non"",""1"""
"PN0394,""Nortens forte cp"","""","""",""Autre"",""Comprime"",""84000"",""0"",""Non"",""3"""
"PN0395,""Nortens plus cp"","""","""",""Autre"",""Comprime"",""84000"",""0"",""Non"",""3"""
"PN0396,""Nospa 40mg cp"","""","""",""Autre"",""Comprime"",""30000"",""0"",""Non"",""2"""
"PN0397,""Novalgin cp"","""","""",""Autre"",""Comprime"",""30000"",""0"",""Non"",""2"""
"PN0398,""Omiz B/14 cp"","""","""",""Autre"",""Comprime"",""52000"",""0"",""Non"",""1"""
"PN0399,""Omiz B/28 cp"","""","""",""Autre"",""Comprime"",""88000"",""0"",""Non"",""2"""
"PN0400,""Oflocine cp"","""","""",""Autre"",""Comprime"",""0"",""0"",""Non"",""0"""
